Ordrenr.;t;Afsluttet ord.;Projektnr.;Navn;Kundeinfo;Prio.;Niveau;Varenummer;Navn;Startperiode;Afsluttet vare;Plan. antal;Rap. ant.;R;Status;Op.;Prod.grp.;Op. beskrivelse;Start;Afsluttet;Plan. antal;Rap. ant.;R;Plan. tid;Rap.tid;Rapp.nr.;oprettet
242680;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242680;Nyfremstilling af Ring for handske;04-05-2016;04-05-2016;1;; ;1;10;VFA-01;Projekt opstart og konstruktion;04-05-2016;04-05-2016;1;0; ;0;0;590;
242680;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242680;Nyfremstilling af Ring for handske;04-05-2016;04-05-2016;1;; ;1;20;VFA-02;Konstruktion, fremstilling og støbe;04-05-2016;04-05-2016;1;0; ;0;0;588;
242680;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242680;Nyfremstilling af Ring for handske;04-05-2016;04-05-2016;1;; ;1;30;VFA-03;Ubemandet maskintid;04-05-2016;04-05-2016;1;0; ;0;0;586;
242680;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242680;Nyfremstilling af Ring for handske;04-05-2016;04-05-2016;1;; ;1;40;VFA-Ø;Interne fejl og efterjustering U/B;04-05-2016;04-05-2016;1;0; ;0;0;584;
242682;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242682;Nyfremstilling af Valve;04-05-2016;04-05-2016;1;; ;1;10;VFA-01;Projekt opstart og konstruktion;04-05-2016;04-05-2016;1;0; ;0;0;598;
242682;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242682;Nyfremstilling af Valve;04-05-2016;04-05-2016;1;; ;1;20;VFA-02;Konstruktion, fremstilling og støbe;04-05-2016;04-05-2016;1;0; ;0;0;596;
242682;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242682;Nyfremstilling af Valve;04-05-2016;04-05-2016;1;; ;1;30;VFA-03;Ubemandet maskintid;04-05-2016;04-05-2016;1;0; ;0;0;594;
242682;04-05-2016;04-05-2016;;;GloVac ApS;9;0;TV242682;Nyfremstilling af Valve;04-05-2016;04-05-2016;1;; ;1;40;VFA-Ø;Interne fejl og efterjustering U/B;04-05-2016;04-05-2016;1;0; ;0;0;592;
242684;28-04-2016;28-04-2016;;;Grundfos  A/S;9;0;70047319;Ændring af 70047319 ved service;28-04-2016;28-04-2016;1;; ;1;10;SVH-01;Afmontering, montering ect.;28-04-2016;28-04-2016;1;0; ;0;0;538;
242684;28-04-2016;28-04-2016;;;Grundfos  A/S;9;0;70047319;Ændring af 70047319 ved service;28-04-2016;28-04-2016;1;; ;1;20;SVH-02;Slibning, renovering af dele;28-04-2016;28-04-2016;1;0; ;0;0;536;
