medarb. initialer;jobnr;aktivitetsnavn;timer;dato (dd-mm-yyyy);kommentar
10-02-2012;208;0,5;;Timer;
10-02-2012;208;1,5;;Timer;
10-02-2012;208;5;;Timer;
06-02-2012;208;7,5;;Timer;
07-02-2012;208;7,5;;Timer;
08-02-2012;208;7,5;;Timer;
09-02-2012;208;7,5;;Timer;
10-02-2012;208;7,5;;Timer;
11-02-2012;208;4;;Timer;
10-02-2012;208;1;;Timer;
11-02-2012;208;3,75;;Timer;
06-02-2012;208;1;;Timer;
07-02-2012;208;3,25;;Timer;
08-02-2012;208;2,25;;Timer;
09-02-2012;208;2,5;;Timer;
10-02-2012;208;1,25;;Timer;
06-02-2012;208;5;;Timer;
07-02-2012;208;3;;Timer;
10-02-2012;208;1;;Timer;
06-02-2012;208;0,75;;Timer;
07-02-2012;208;1;;Timer;
08-02-2012;208;0,5;;Timer;
09-02-2012;208;0,5;;Timer;
10-02-2012;208;0,5;;Timer;
08-02-2012;208;4,5;;Timer;
09-02-2012;208;4,5;;Timer;
10-02-2012;208;3,5;;Timer;
13-02-2012;208;4;;Timer;
13-02-2012;208;2,3;;Timer;
13-02-2012;208;5;;Timer;
10-02-2012;208;1;;Timer;
08-02-2012;208;1;;Timer;
09-02-2012;208;1,3;;Timer;
10-02-2012;208;1,3;;Timer;
10-02-2012;208;2;Møde med Ole om ny struktur;Timer;
10-02-2012;208;3;Timeopgørelse på alle projekter for januar;Timer;
08-02-2012;208;5;MZ001702;Timer;
09-02-2012;208;5;Timeopgørelse for januar for alle projekter;Timer;
09-02-2012;208;1;;Timer;
13-02-2012;208;0,5;;Timer;
13-02-2012;208;3,5;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;0,5;;Timer;
13-02-2012;208;0,5;;Timer;
13-02-2012;208;0,5;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;2;;Timer;
10-02-2012;208;5;;Timer;
10-02-2012;208;2,5;;Timer;
13-02-2012;208;1,3;;Timer;
13-02-2012;208;2;;Timer;
13-02-2012;208;4;;Timer;
13-02-2012;208;5;;Timer;
13-02-2012;208;2;;Timer;
13-02-2012;208;1;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;1,25;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;2,75;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;3,5;;Timer;
14-02-2012;208;2;;Timer;
14-02-2012;208;3,25;;Timer;
14-02-2012;208;2;;Timer;
14-02-2012;208;3;Planlægningsmøde og oversigt over kommunikationsprodukter;Timer;
14-02-2012;208;1,5;Pressemeddelelse om Compass Group;Timer;
14-02-2012;208;1,75;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;0,25;;Timer;
14-02-2012;208;0,25;;Timer;
14-02-2012;208;1,5;;Timer;
14-02-2012;208;1,25;;Timer;
14-02-2012;208;1,75;;Timer;
14-02-2012;208;0,25;;Timer;
06-02-2012;208;6;;Timer;
07-02-2012;208;12;;Timer;
08-02-2012;208;9;;Timer;
09-02-2012;208;12;;Timer;
10-02-2012;208;9;;Timer;
13-02-2012;208;6,5;;Timer;
14-02-2012;208;7,3;;Timer;
15-02-2012;208;7,3;;Timer;
16-02-2012;208;7,3;;Timer;
17-02-2012;208;7,3;;Timer;
14-02-2012;208;1,5;;Timer;
14-02-2012;208;5;;Timer;
14-02-2012;208;1;;Timer;
10-02-2012;208;1;;Timer;
07-02-2012;208;1;;Timer;
06-02-2012;208;2;;Timer;
07-02-2012;208;3;;Timer;
09-02-2012;208;3;;Timer;
10-02-2012;208;1;;Timer;
10-02-2012;208;1;;Timer;
13-02-2012;208;1,5;;Timer;
14-02-2012;208;1;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;3;;Timer;
14-02-2012;208;1,5;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;2;;Timer;
14-02-2012;208;2;;Timer;
14-02-2012;208;3,5;;Timer;
15-02-2012;208;0,5;;Timer;
08-02-2012;208;7,3;Korrektur af LN og runder med grafiker;Timer;
